,name,start_id,end_id,highway,crime_count,tree_count,light_count
95,Upper Jordan Fire Trail,33947381,33947388,track,,,
96,Upper Jordan Fire Trail,33947388,33947401,track,,,
97,,33947087,33947517,track,,,
98,,33947517,5342164960,track,,,
99,,5342164960,35719262,track,,,
100,East West Trail,33947190,33947206,track,,,
101,East West Trail,33947206,33947486,track,,,
102,East West Trail,33947486,33947223,track,,,
103,East West Trail,33947223,33947233,track,,,
104,East West Trail,33947233,760722831,track,,,
105,East West Trail,760722831,760000763,track,,,
106,East West Trail,760000763,35706102,track,,,
107,East West Trail,35706102,35706118,track,,,
108,East West Trail,35706118,35706139,track,,,
109,East West Trail,35706139,35706164,track,,,
110,East West Trail,35706164,35706170,track,,,
111,,35706170,760721274,track,,,
112,,760721274,760000429,track,,,
113,,760000429,35706535,track,,,
114,,35706535,760000431,track,,,
115,,760000431,760000432,track,,,
116,,760000432,842986233,track,,,
117,,842986233,842986235,track,,,
118,,842986235,35706545,track,,,
119,Grizzly Peak Boulevard,35718993,35718995,tertiary,,,
120,Grizzly Peak Boulevard,35718995,537351835,tertiary,,,
121,Grizzly Peak Boulevard,537351835,2421199594,tertiary,,,
122,Grizzly Peak Boulevard,2421199594,4728624121,tertiary,,,
123,Grizzly Peak Boulevard,4728624121,4728624131,tertiary,,,
124,Grizzly Peak Boulevard,4728624131,4728624148,tertiary,,,
125,Grizzly Peak Boulevard,4728624148,4728624156,tertiary,,,
126,Grizzly Peak Boulevard,4728624156,4728624171,tertiary,,,
127,Grizzly Peak Boulevard,4728624171,4728624178,tertiary,,,
128,Grizzly Peak Boulevard,4728624178,4728624185,tertiary,,,
129,Grizzly Peak Boulevard,4728624185,4728624187,tertiary,,,
130,Grizzly Peak Boulevard,4728624187,4728624195,tertiary,,,
131,Grizzly Peak Boulevard,4728624195,4728624208,tertiary,,,
132,Grizzly Peak Boulevard,4728624208,4728624212,tertiary,,,
133,Grizzly Peak Boulevard,4728624212,4728624218,tertiary,,,
134,Grizzly Peak Boulevard,4728624218,4728624223,tertiary,,,
135,Grizzly Peak Boulevard,4728624223,4728624230,tertiary,,,
136,Grizzly Peak Boulevard,4728624230,4728624240,tertiary,,,
137,Grizzly Peak Boulevard,4728624240,4728624248,tertiary,,,
138,Grizzly Peak Boulevard,4728624248,4728624259,tertiary,,,
139,Grizzly Peak Boulevard,4728624259,4728624275,tertiary,,,
140,Grizzly Peak Boulevard,4728624275,4728624283,tertiary,,,
141,Grizzly Peak Boulevard,4728624283,4728624301,tertiary,,,
142,Grizzly Peak Boulevard,4728624301,35719039,tertiary,,,
143,Claremont Avenue,35718715,843007661,secondary,,,
144,Claremont Avenue,843007661,306329127,secondary,,,
145,Claremont Avenue,4330828671,53152991,secondary,,,
146,Stonewall Road,35718715,843004444,residential,,,
147,Stonewall Road,843004444,35718720,residential,,,
148,Stonewall Road,35718720,843006033,residential,,,
149,Stonewall Road,843006033,35718726,residential,,,
150,Stonewall Road,35718726,35718727,residential,,,
151,Stonewall Road,35718727,3702027476,residential,,,
152,Stonewall Road,3702027476,3702027482,residential,,,
153,,35718727,35719262,residential,,,
154,,35719262,842991781,residential,,,
155,Centennial Drive,1329086484,251225761,tertiary,,,
156,Panoramic Way,35719198,775882867,residential,,,
157,Panoramic Way,775882867,35719201,residential,,,
158,Panoramic Way,35719201,775882871,residential,,,
159,Panoramic Way,775882871,35719206,residential,,,
160,Panoramic Way,35719206,775882872,residential,,,
161,Panoramic Way,775882872,760677900,residential,,,
162,Panoramic Way,760677900,35719213,residential,,,
163,Panoramic Way,35719213,251225757,residential,,,
164,Panoramic Way,251225757,760688529,residential,,,
165,Panoramic Way,760688529,35719220,residential,,,
166,Panoramic Way,35719220,760682291,residential,,,
167,Panoramic Way,760682291,760682293,residential,,,
168,Panoramic Way,760682293,760681003,residential,,,
169,Panoramic Way,760681003,760681015,residential,,,
170,Panoramic Way,760681015,775883290,residential,,,
171,Panoramic Way,775883290,35719231,residential,,,
172,Panoramic Way,35719231,775883293,residential,,,
173,Panoramic Way,775883293,35719182,residential,,,
174,Panoramic Way,35719172,760874879,residential,,,
175,Panoramic Way,760874879,309013663,residential,,,
176,Panoramic Way,309013663,309014042,residential,,,
177,Panoramic Way,309014042,35719176,residential,,,
178,Hillside Avenue,35719098,35719100,residential,,,
179,Hillside Avenue,35719100,8166321939,residential,,,
180,Canyon Road,35719109,760874901,tertiary,,,
181,Dwight Place,35719190,35719195,residential,,,
182,Dwight Place,35719195,6378421927,residential,,,
183,Dwight Place,6378421927,6378421931,residential,,,
184,Dwight Place,6378421931,6378421932,residential,,,
185,Fernwald Road,34485314,35719091,residential,,,
186,Fernwald Road,35719091,35719092,residential,,,
187,Mosswood Road,35719237,35719238,residential,,,
188,Mosswood Road,35719238,760678109,residential,,,
189,Mosswood Road,760678109,309009445,residential,,,
190,Mosswood Road,309009445,35719172,residential,,,
191,Arden Road,35719176,760665718,residential,,,
192,Arden Road,760665718,760690419,residential,,,
193,Arden Road,760690419,35719236,residential,,,
194,Eastshore Freeway,30364622,5056104063,motorway,,,
195,Forest Avenue,52978708,52978706,residential,,,
196,Forest Avenue,52978706,52978704,residential,,,
197,Upper Jordan Fire Trail,33947401,775883908,track,,,
198,Upper Jordan Fire Trail,775883908,34351336,track,,,
199,Upper Jordan Fire Trail,34351336,52978764,track,,,
200,,290107945,7777762140,motorway_link,,,
201,,7777762140,52979342,motorway_link,,,
202,Hilgard Way,2438953231,1250596089,cycleway,,,
203,,3958195469,258761391,motorway_link,,,
204,,1541561262,53007853,motorway_link,,,
205,Glen Rose Alley,332317265,440602845,steps,,,
206,,52991882,52991879,motorway_link,,,
207,,52991879,52991878,motorway_link,,,
208,,53013480,52995527,motorway_link,,,
209,,35833157,53003639,motorway_link,,,
210,Frank Schlessinger Way,239669251,53006299,cycleway,,,
211,,53006318,53006319,pedestrian,,,
212,,34351177,760724709,track,,,
213,,760724709,34351184,track,,,
214,,34351184,760724712,track,,,
215,,760724712,2532688172,track,,,
216,,2532688172,760724721,track,,,
217,,760724721,34351191,track,,,
218,,34351191,34351198,track,,,
219,,34351198,2532680562,track,,,
220,,2532680562,34351204,track,,,
221,John T. Knox Freeway,53010172,258763794,motorway,,,
222,,53011243,53011244,motorway_link,,,
223,,53011244,53011307,motorway_link,,,
224,,86276989,86276942,motorway_link,,,
225,,86276942,86276935,motorway_link,,,
226,Live Oak Road,53016930,92721409,residential,,,
227,Live Oak Road,92721409,53016931,residential,,,
228,Romany Road,53018869,201589282,residential,,,
229,Romany Road,201589282,53018875,residential,,,
230,Romany Road,53018875,201589286,residential,,,
231,Romany Road,201589286,553973329,residential,,,
232,Romany Road,553973329,53018879,residential,,,
233,The Steps,53019747,3965002858,steps,,,
234,Taylor Street,53020082,240471170,residential,,,
235,Vistamont Court,53020263,53020264,residential,,,
236,Mariposa Avenue,53020805,53020807,residential,,,
237,Dwight Way,53020918,1993249657,residential,,,
238,La Loma Avenue,53021347,59942347,residential,,,
239,La Loma Avenue,240469730,269301257,residential,,,
240,La Loma Avenue,269301257,59942433,residential,,,
241,La Loma Avenue,59942433,59942435,residential,,,
242,La Loma Avenue,59942435,53021355,residential,,,
243,La Loma Avenue,53021355,59805954,residential,,,
244,La Loma Avenue,59805954,59805979,residential,,,
245,La Loma Avenue,59805979,53021357,residential,,,
246,La Loma Avenue,53021357,4294455624,residential,,,
247,La Loma Avenue,4294455624,53021359,residential,,,
248,Eustice Avenue,53021638,265517115,residential,,,
249,Eustice Avenue,265517115,265517116,residential,,,
250,Eustice Avenue,265517116,53021639,residential,,,
251,South Crossways,53021835,661760364,steps,,,
252,South Crossways,661760364,247391972,steps,,,
253,Talbot Avenue,2019718624,53021869,residential,,,
254,Corona Court,53023202,53023203,residential,,,
255,Marie Way,53023230,53023232,residential,,,
256,Golden Gate Way,6896978667,7297886204,tertiary,,,
257,Golden Gate Way,7297886204,53025122,tertiary,,,
258,Stevenson Avenue,53025638,269301349,residential,,,
259,Stevenson Avenue,269301349,269301348,residential,,,
260,Stevenson Avenue,269301348,100554541,residential,,,
261,Stevenson Avenue,100554541,100554533,residential,,,
262,Stevenson Avenue,100554533,269301383,residential,,,
263,Stevenson Avenue,269301383,53025642,residential,,,
264,Brookside Drive,53025950,88552855,residential,,,
265,Brookside Drive,88552855,53025951,residential,,,
266,Brookside Drive,53025955,88552873,residential,,,
267,Brookside Drive,88552873,53025950,residential,,,
268,Hawthorne Terrace,53026102,269301296,residential,,,
269,Hawthorne Terrace,269301296,53026097,residential,,,
270,Hawthorne Terrace,53026097,4295642351,residential,,,
271,Hawthorne Terrace,4295642351,53026098,residential,,,
272,Hawthorne Terrace,53026106,59794886,residential,,,
273,Hawthorne Terrace,59794886,53026105,residential,,,
274,Hazel Road,53026147,4349679552,residential,,,
275,Clay Street,53026635,53026637,residential,,,
276,Clay Street,53026637,5482971804,residential,,,
277,Camelia Street,53027121,1997934951,residential,,,
278,Ashby Place,53027215,267632069,residential,,,
279,Ashby Place,267632069,267632066,residential,,,
280,Ashby Place,267632066,267632059,residential,,,
281,Ashby Place,267632059,53027218,residential,,,
282,Franklin Street,53027395,57121410,residential,,,
283,Franklin Street,57121410,53027397,residential,,,
284,Franklin Street,53027397,53027398,residential,,,
285,Franklin Street,53027398,53027401,residential,,,
286,Franklin Street,53027401,53027402,residential,,,
287,Masonic Avenue,2556661323,53027870,tertiary,,,
288,Masonic Avenue,53027870,53027871,tertiary,,,
289,Masonic Avenue,53027871,53027872,tertiary,,,
290,Masonic Avenue,53027872,53027875,tertiary,,,
291,Dowling Place,312432948,53028332,residential,,,
292,Dowling Place,53028332,53028333,residential,,,
293,Acton Circle,53028559,53028560,residential,,,
294,Curtis Street,53029060,261736067,residential,,,
295,Curtis Street,261736067,2206275691,residential,,,
296,Curtis Street,2206275691,53029014,residential,,,
297,Curtis Street,53029014,53029015,residential,,,
298,Curtis Street,53029015,53029018,residential,,,
299,Curtis Street,53029018,53029021,residential,,,
300,Curtis Street,53029032,53029033,residential,,,
301,Curtis Street,53029033,53029035,residential,,,
302,Curtis Street,53029035,53029036,residential,,,
303,Curtis Street,53029036,53029037,residential,,,
304,Berkeley Park Boulevard,53029052,5043351846,residential,,,
305,Hawks Hill Court,52987947,266426371,residential,,,
306,Hawks Hill Court,266426371,266426372,residential,,,
307,Tenth Street,53030280,240448880,residential,,,
308,Tenth Street,240448880,53030281,residential,,,
309,Tenth Street,53030281,53030282,residential,,,
310,Tenth Street,53030282,1762740845,residential,,,
311,Grizzly Peak Boulevard,53030619,53030484,tertiary,,,
312,Acroft Court,53030914,53030915,residential,,,
313,Oak Ridge Road,53031192,53031194,residential,,,
314,Oak Ridge Road,53031194,4349679541,residential,,,
315,Oak Ridge Road,4349679541,53031195,residential,,,
316,Oak Ridge Road,53031582,57059768,residential,,,
317,Oak Ridge Road,57059768,394180396,residential,,,
318,Oak Ridge Road,394180396,394180397,residential,,,
319,Oak Ridge Road,394180397,53031192,residential,,,
320,Garfield Avenue,53032382,53032383,residential,,,
321,Garfield Avenue,53032383,53032385,residential,,,
322,Garfield Avenue,53032385,53032387,residential,,,
323,Garfield Avenue,53032387,53021870,residential,,,
324,Garfield Avenue,53021870,53032389,residential,,,
325,Garfield Avenue,53032389,53027870,residential,,,
326,Keeler Avenue,53030503,269109418,residential,,,
327,Keeler Avenue,269109418,99259417,residential,,,
328,Keeler Avenue,99259417,269109428,residential,,,
329,Keeler Avenue,269109428,53033487,residential,,,
330,Keeler Avenue,53033487,53033489,residential,,,
331,Keeler Avenue,53033489,53033490,residential,,,
332,Keeler Avenue,53033490,266712327,residential,,,
333,Keeler Avenue,266712327,53033493,residential,,,
334,Keeler Avenue,53033493,792213661,residential,,,
335,Keeler Avenue,792213661,269109319,residential,,,
336,Keeler Avenue,269109319,53033497,residential,,,
337,Keeler Avenue,53033497,269301417,residential,,,
338,Belalp Path,53034090,53034092,steps,,,
339,Belalp Path,53034092,53034093,steps,,,
340,Stoddard Way,53030526,53034157,residential,,,
341,Ajax Place,53034332,332322751,residential,,,
342,Ajax Place,332322751,288988653,residential,,,
343,Ajax Place,288988653,53034335,residential,,,
344,Bret Harte Road,53035083,53035085,residential,,,
345,Walker Street,53035181,417266879,residential,,,
346,Station Place,53035189,53035191,residential,,,
347,Watkins Street,53036287,53036288,residential,,,
348,Los Angeles Avenue,53036813,266711636,tertiary,,,
349,Los Angeles Avenue,266711636,53020805,tertiary,,,
350,Stuart Street,53037895,240469624,residential,,,
351,Stuart Street,240469624,53037897,residential,,,
352,Stuart Street,53037897,53037899,residential,,,
353,Stuart Street,53037899,53037901,residential,,,
354,Stuart Street,53037901,53037903,residential,,,
355,Stuart Street,53037903,53037905,residential,,,
356,Stuart Street,53037905,275782472,residential,,,
357,Stuart Street,275782472,53037907,residential,,,
358,Stuart Street,53037907,53037909,residential,,,
359,Stuart Street,53037909,1762740637,residential,,,
360,Stuart Street,53037929,53037931,residential,,,
361,Stuart Street,53037931,53037932,residential,,,
362,Stuart Street,53037932,57014813,residential,,,
363,Stuart Street,57014813,2252623213,residential,,,
364,Alpine Terrace,53038295,265515337,residential,,,
365,Alpine Terrace,265515337,265515363,residential,,,
366,Alpine Terrace,265515363,53038297,residential,,,
367,Woodside Road,53038912,100554670,residential,,,
368,Woodside Road,100554670,53038910,residential,,,
369,Woodside Road,53038910,7018885276,residential,,,
370,Woodside Road,7018885276,53038909,residential,,,
371,Plaza Drive,53039354,53039355,residential,,,
372,Tyler Street,53039454,1762740559,residential,,,
373,,53039501,7779421705,motorway_link,,,
374,,7779421705,1895821106,motorway_link,,,
375,Potter Street,53039509,53039510,residential,,,
376,Pomona Avenue,3810498658,53039798,residential,,,
377,Pomona Avenue,53039798,53039800,residential,,,
378,Pomona Avenue,53039800,53039802,residential,,,
379,Pomona Avenue,53039804,53039805,residential,,,
380,Bay Street,53039503,74093918,tertiary,,,
381,Elmwood Avenue,267632071,5040086334,residential,,,
382,Elmwood Avenue,5040086334,53040161,residential,,,
383,Terrace Street,53040231,53040233,residential,,,
384,Evelyn Avenue,53040245,2019718683,residential,,,
385,Evelyn Avenue,53040245,53032389,residential,,,
386,Evelyn Avenue,53032389,53040247,residential,,,
387,Evelyn Avenue,53040247,53040248,residential,,,
388,Evelyn Avenue,53040248,53040249,residential,,,
389,Evelyn Avenue,53040249,53040254,residential,,,
390,Evelyn Avenue,53040254,53021862,residential,,,
391,Evelyn Avenue,53021862,7213764575,residential,,,
392,Chabolyn Terrace,53040364,53040366,residential,,,
393,Chabolyn Terrace,53040366,53040370,residential,,,
394,Chabolyn Terrace,53040372,661760497,residential,,,
395,Chabolyn Terrace,661760497,53040364,residential,,,
396,Creston Road,53030498,677315511,residential,,,
397,Creston Road,677315511,53040391,residential,,,
398,Creston Road,53040391,99259264,residential,,,
399,Creston Road,99259264,53040394,residential,,,
400,Creston Road,53040394,4340525972,residential,,,
401,Creston Road,4340525972,53040398,residential,,,
402,Creston Road,53040398,53040399,residential,,,
403,Creston Road,53040399,53040401,residential,,,
404,Creston Road,53040401,4247905254,residential,,,
405,Creston Road,4247905254,53040405,residential,,,
406,Creston Road,53040405,339928454,residential,,,
407,Creston Road,339928454,53030520,residential,,,
408,Hermann Street,53040551,53040552,residential,,,
409,Edith Street,53040920,343616981,residential,,,
410,Edith Street,343616981,53040923,residential,,,
411,Edith Street,53040923,53040925,residential,,,
412,Edith Street,53040925,53040927,residential,,,
413,Edith Street,53040927,53040929,residential,,,
414,Edith Street,53040929,53040930,residential,,,
415,Golden Gate Avenue,53039682,265517226,tertiary,,,
416,Golden Gate Avenue,265517226,93129761,tertiary,,,
417,Golden Gate Avenue,93129761,93129751,tertiary,,,
418,Golden Gate Avenue,93129751,53040975,tertiary,,,
419,Golden Gate Avenue,53040975,201590560,tertiary,,,
420,Golden Gate Avenue,201590560,53021639,tertiary,,,
421,Golden Gate Avenue,53021639,244430494,tertiary,,,
422,Golden Gate Avenue,244430494,265517367,tertiary,,,
423,Golden Gate Avenue,265517367,53025122,tertiary,,,
424,Golden Gate Avenue,53024877,53018879,tertiary,,,
425,Golden Gate Avenue,53018879,244469219,tertiary,,,
426,Golden Gate Avenue,244469219,53040981,tertiary,,,
427,Golden Gate Avenue,53040981,53034090,tertiary,,,
428,Golden Gate Avenue,53034090,265511359,tertiary,,,
429,Golden Gate Avenue,265511359,53040986,tertiary,,,
430,Golden Gate Avenue,53040986,265511434,tertiary,,,
431,Golden Gate Avenue,265511434,661790528,tertiary,,,
432,Golden Gate Avenue,661790528,93186629,tertiary,,,
433,Golden Gate Avenue,93186629,53040992,tertiary,,,
434,Golden Gate Avenue,53040992,93186708,tertiary,,,
435,Golden Gate Avenue,93186708,265511606,tertiary,,,
436,Golden Gate Avenue,265511606,265511601,tertiary,,,
437,Golden Gate Avenue,265511601,265518433,tertiary,,,
438,Golden Gate Avenue,265518433,53040994,tertiary,,,
439,Golden Gate Avenue,53040994,93147624,tertiary,,,
440,Golden Gate Avenue,93147624,53039682,tertiary,,,
441,Haste Street,53041097,53041095,tertiary,,,
442,Otis Street,53041130,53041131,residential,,,
443,Eton Court,53041412,53041414,residential,,,
444,Occidental Street,53041545,53041548,residential,,,
445,Occidental Street,92951616,553995557,residential,,,
446,Occidental Street,553995557,240469840,residential,,,
447,Gravatt Drive,53041846,91846085,residential,,,
448,Gravatt Drive,91846085,91846090,residential,,,
449,Gravatt Drive,91846090,91846145,residential,,,
450,Gravatt Drive,91846145,91846151,residential,,,
451,Gravatt Drive,91846151,3386879847,residential,,,
452,Gravatt Drive,3386879847,91846513,residential,,,
453,Gravatt Drive,91846513,91846509,residential,,,
454,Gravatt Drive,91846509,53041851,residential,,,
455,Gravatt Drive,53041851,3386879824,residential,,,
456,Gravatt Drive,3386879824,3386879825,residential,,,
457,Gravatt Drive,3386879825,3386879827,residential,,,
458,Gravatt Drive,3386879827,53041854,residential,,,
459,Gravatt Drive,53041854,53041855,residential,,,
460,Gravatt Drive,53041855,3386879836,residential,,,
461,Gravatt Drive,3386879836,3386879838,residential,,,
462,Gravatt Drive,3386879838,92721195,residential,,,
463,Gravatt Drive,92721195,53041859,residential,,,
464,Gravatt Drive,53041859,53041860,residential,,,
465,Haskell Street,2644106917,53042100,residential,,,
466,Haskell Street,53042100,53042101,residential,,,
467,Vincente Walk,53042480,266910804,steps,,,
468,Berkeley Way,53042645,53042646,residential,,,
469,Berkeley Way,53042646,53042648,residential,,,
470,Berkeley Way,53042648,53042650,residential,,,
471,Berkeley Way,53042650,240404686,residential,,,
472,Berkeley Way,240404686,53042652,residential,,,
473,Berkeley Way,53042652,53042654,residential,,,
474,Berkeley Way,53042654,2070549524,residential,,,
475,Berkeley Way,2070549524,263569409,residential,,,
476,Carmel Avenue,53042688,53042689,residential,,,
477,Carmel Avenue,53042689,53042693,residential,,,
478,Carmel Avenue,53042693,53042695,residential,,,
479,Carmel Avenue,53042695,53042697,residential,,,
480,Carmel Avenue,53042710,53042711,residential,,,
481,Martin Street,53043597,53040552,residential,,,
482,Martin Street,53043600,53043602,residential,,,
483,Belvedere Avenue,53043833,53043835,residential,,,
484,Belvedere Avenue,53043835,53043837,residential,,,
485,65th Street,53043840,53043842,residential,,,
486,65th Street,53043842,53043845,residential,,,
487,65th Street,53043865,53043866,residential,,,
488,65th Street,53043873,53043874,residential,,,
489,65th Street,53043874,53043876,residential,,,
490,65th Street,53043876,53043878,residential,,,
491,65th Street,53043878,53024617,residential,,,
492,Neilson Street,53044091,53036287,residential,,,
493,Neilson Street,53036287,53044093,residential,,,
494,Neilson Street,53044093,53044094,residential,,,
495,Neilson Street,53044102,53044103,residential,,,
496,Neilson Street,53044103,7130122362,residential,,,
497,Neilson Street,7130122362,53044106,residential,,,
498,Neilson Street,53044106,53044108,residential,,,
499,Neilson Street,53044108,53044110,residential,,,
500,Neilson Street,53044110,53044114,residential,,,
501,Napa Avenue,53044129,266712192,cycleway,,,
502,Hawthorne Steps,53026097,427500198,steps,,,
503,Madison Street,53045516,53026635,residential,,,
504,Madison Street,53026635,53045518,residential,,,
505,Madison Street,53045518,53045519,residential,,,
506,Madison Street,53045519,53045520,residential,,,
507,Madison Street,53045520,53045521,residential,,,
508,Colby Street,53045592,2195327624,residential,,,
509,Colby Street,2195327624,4030862072,residential,,,
510,Colby Street,1042287114,1042287122,residential,,,
511,Colby Street,1042287122,53045601,residential,,,
512,Colby Street,53045601,53045602,residential,,,
513,Colby Street,53045602,309547418,residential,,,
514,Colby Street,309547418,53045604,residential,,,
515,Colby Street,53045604,53045606,residential,,,
516,Colby Street,53045606,53045608,residential,,,
517,Colby Street,53045608,53045610,residential,,,
518,Colby Street,53045610,53045612,residential,,,
519,Colby Street,53045612,53045614,residential,,,
520,Colby Street,53045614,88356154,residential,,,
521,Besito Avenue,53045663,3386879182,residential,,,
522,Besito Avenue,3386879182,3386879183,residential,,,
523,Besito Avenue,3386879183,3386879184,residential,,,
524,Besito Avenue,3386879184,6856751809,residential,,,
525,East Parnassus Court,53046247,53046248,residential,,,
526,East Parnassus Court,53046248,262084243,residential,,,
527,Spinnaker Way,53046994,87340053,residential,,,
528,Spinnaker Way,87340053,53046995,residential,,,
529,Acton Street,53020950,260577507,residential,,,
530,Acton Street,53047294,53047295,residential,,,
531,Acton Street,53047295,261735842,residential,,,
532,Acton Street,261735842,53019147,residential,,,
533,Acton Street,394203374,53047301,residential,,,
534,Acton Street,53047301,53047303,residential,,,
535,Acton Street,53019149,53047320,residential,,,
536,Acton Street,53047320,53047322,residential,,,
537,Acton Street,53047322,53047324,residential,,,
538,Acton Street,53047324,53047326,residential,,,
539,Acton Street,53047326,53047327,residential,,,
540,Acton Street,53047327,53047330,residential,,,
541,Ayala Avenue,53047375,53040551,residential,,,
542,Ayala Avenue,53040551,53043602,residential,,,
543,Ayala Avenue,53043602,53043597,residential,,,
544,Ayala Avenue,53043597,53047380,residential,,,
545,Forest Lane,53047410,100526700,residential,,,
546,Forest Lane,100526700,266712307,residential,,,
547,Forest Lane,266712307,53033489,residential,,,
548,Forest Lane,53033490,269109385,residential,,,
549,Forest Lane,269109385,53030510,residential,,,
550,Forest Lane,53030514,100526620,residential,,,
551,Forest Lane,100526620,269109399,residential,,,
552,Forest Lane,269109399,53040401,residential,,,
553,The Shortcut,53047453,53047455,residential,,,
554,Short Street,53047778,57650413,residential,,,
555,Jaynes Street,53047986,53047987,residential,,,
556,Jaynes Street,53047987,53047989,residential,,,
557,Jaynes Street,53047989,53047991,residential,,,
558,Jaynes Street,53047991,53040925,residential,,,
